"","date","ID","mood","arousal","valence","activity","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather"
"47",2014-03-23,"1",6.8,0.2,0.8,0.133819796067247,0,0,1286.246,5237.319,94.346,43.403,0,0,72.823,900.839,0,0,30.086,30.386
"48",2014-03-23,"2",6.25,-1,0,0.27747493481131,8,1,962.105,1872.43,388.098,0,0,0,61.865,171.994,1263.189,0,0,0
"49",2014-03-23,"3",8.2,-0.2,1.2,0.0915031987970536,1,1,477.763,1501.941,1705.406,36.364,0,161.998,251.529,0,275.405,0,0,44.854
"50",2014-03-23,"5",4.4,-1.4,-1,0.0852428972480861,1,9,269.464,2909.752,749.339,0,0,0,91.277,0,0,0,0,0
"51",2014-03-23,"6",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"52",2014-03-23,"7",7.75,0,1.5,NA,0,0,806.453,7799.751,633.806,0,0,0,113.335,788.647,0,0,0,0
"53",2014-03-23,"8",7.2,-0.2,0.8,0.0421848253883106,2,0,86.199,312.196,0,0,0,0,4065.138,1612.935,323.241,0,82.451,0
"54",2014-03-23,"9",6.75,0.75,0.25,0.0333333333333333,0,1,291.19,2996.553,35853.766,0,0,0,68.399,18.333,193.588,0,3.054,0
"55",2014-03-23,"13",7.4,1.6,1,0.121802606177606,0,2,370.559,5327.418,623.903,0,0,0,316.934,208.575,0,19.359,0,0
"56",2014-03-23,"14",6,-0.6,0.2,0.0664366525273635,0,0,5182.289,3209.224,315.577,159.624,0,0,304.809,1348.606,0,0,0,0
"57",2014-03-23,"15",7,0.2,1,0.00543478260869565,0,0,19.876,522.718,0,0,0,0,10.102,0,0,0,0,0
"58",2014-03-23,"16",7,0,1,0.0798611111111111,6,3,173.546,204.495,181.257,13.047,0,0,23.124,191.314,0,0,0,0
"59",2014-03-23,"17",7.4,0.8,0.8,0.0659260352337371,0,1,1642.404,2809.858,2145.609,0,0,0,35.186,1554.242,135.242,0,0,0
"60",2014-03-23,"19",7,-0.8,0.8,0.0169604386995692,4,0,505.836,252.169,0,0,0,0,104.042,67.619,0,0,0,0
"61",2014-03-23,"20",7.6,0.8,0.8,0.0432098765432099,0,1,46.412,657.611,48.255,0,0,0,65.792,0,0,22.147,0,0
"62",2014-03-23,"23",7,-0.4,1,0.229467137615209,0,0,1061.429,7223.939,1097.507,0,0,0,66.582,25253.257,0,252.217,21.202,0
"63",2014-03-23,"25",NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2014-03-23,"26",7.5,0.5,1,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"65",2014-03-23,"29",NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",2014-03-23,"30",7.8,-0.6,1,0.130586196886679,0,0,895.365,4933.717,5386.393,0,0,0,795.377,2923.412,0,51.409,76.416,366.937
"67",2014-03-23,"31",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"68",2014-03-23,"32",NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",2014-03-23,"33",NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"70",2014-03-24,"1",6,0.8,0,0.078961056115598,10,0,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0
"71",2014-03-24,"2",6.4,0.2,-0.2,0.149180218057056,5,0,1005.897,2979.65,532.013,0,0,0,81.808,232.801,0,0,0,0
"72",2014-03-24,"3",7.8,-0.6,1.4,0.0897239622589654,3,0,92.246,2281.313,3902.357,105.217,0,125.325,851.017,0,0,11.064,5.136,0
"73",2014-03-24,"5",3.75,-2,-1,0.00653587207270855,0,1,1117.885,3623.367,554.26,0,0,0,124.07,0,0,99.938,153.627,0
"74",2014-03-24,"6",7,-1,0,0.0576355058152293,3,0,48.522,1282.986,1223.442,0,0,0,220.348,340.496,0,0,0,0
"75",2014-03-24,"7",8,0.5,1,NA,4,9,1343.57,2959.889,512.345,0,0,0,188.645,511.683,58.215,0,0,0
"76",2014-03-24,"8",6.8,-0.8,1,0.0463079127626616,0,0,14.427,194.055,0,0,0,0,52.023,1700.212,0,0,11.063,0
"77",2014-03-24,"9",7.25,0.5,0.5,0.0791666666666667,0,0,60.258,3151.801,1067.735,54.492,0,4.091,83.633,903.155,250.549,324.702,20.667,0
"78",2014-03-24,"13",8.8,1,1.8,0.279466350642821,2,0,425.913,3179.744,948.387,0,0,0,97.92,186.043,428.198,0,25.496,0
"79",2014-03-24,"14",6.5,-1,0.25,0.082529224042727,0,0,3378.848,6946.742,465.086,868.449,0,0,439.074,950.617,210.029,0,0,0
"80",2014-03-24,"15",7,1,0.8,0,0,0,258.777,38.207,0,0,0,21.464,8.046,0,0,0,0,0
"81",2014-03-24,"16",6.4,0,0.8,0.107312877073906,0,0,147.85,222.792,0,6.032,0,0,10.417,81.677,0,0,0,0
"82",2014-03-24,"17",7,0.666666666666667,0.666666666666667,0.169408738292795,4,0,889.64,2423.759,721.972,0,0,0,36.194,1275.068,690.119,0,42.139,0
"83",2014-03-24,"19",6,-0.4,0.4,0.113889446061364,5,0,404.403,3434.444,26.125,0,0,0,53.411,0,0,0,0,0
"84",2014-03-24,"20",6.8,-0.2,0.4,0.0333333333333333,0,1,115.908,766.497,162.989,0,445.804,0,14.054,228.282,0,954.654,0,0
"85",2014-03-24,"23",5.8,-0.2,-0.2,0.356793224371349,0,0,2488.791,3653.382,1131.028,0,0,0,443.717,1270.961,39.085,280.964,3.016,0
"86",2014-03-24,"25",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",2014-03-24,"26",7,-0.25,0,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"88",2014-03-24,"27",NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",2014-03-24,"28",NA,NA,NA,NA,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"90",2014-03-24,"29",NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"91",2014-03-24,"30",7.8,-0.2,1,0.144073734519211,0,0,1173.282,6090.128,2959.934,194.072,0,137.45,1382.905,3555.056,0,15.109,94.495,15.07
