"","ID","date","observation_day","mood","arousal","valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","night_physical_activity","night_screen","night_appcat_combined","MAX_inactivity_timediff","SUM_inactivity_timediff","weekday","week_of_year","appCat_total","was_na_mood","was_na_arousal","was_na_valence","was_na_activity","was_na_night_activity","mood_of_next_day","roll_mean_3","roll_mean_7"
"18",1,2014-04-08,18,6.6,-0.4,0.4,0.103706515224909,8218.70100212097,0,0,612.186,6060.181,872.291,19.131,0,0,50.412,2181.717,0,0,36.143,0,0.00655270655270654,6060.23599958419,6464.722,1,1,2,14,9832.061,0,0,2,0,0,7.4,6.63333333333333,6.52857142857143
"19",1,2014-04-09,19,7.4,-0.8,1,0.184788496295204,8705.48200082779,4,0,1290.799,3550.485,563.347,0,0,0,338.637,2413.786,0,0,19.348,0,0.0214752567693744,4020.80700039864,4062.922,2,4,3,15,8176.402,0,0,1,0,0,7.5,6.86666666666667,6.67142857142857
"20",1,2014-04-10,20,7.5,-0.1,1.1,0.0997427004373863,4866.73300027847,7,0,576.076,2173.301,477.255,0,1.059,23.195,98.699,1131.258,0,0,230.197,0,0.0479577288613947,8663.835999012,8141.489,2,3,4,15,4711.04,2,2,2,0,0,7,7.16666666666667,6.82857142857143
"21",1,2014-04-11,21,7,-1.2,0.8,0.126866812205786,9586.10200023651,0,0,3162.433,3321.247,434.249,94.093,0,0,42.383,596.807,34.234,0,214.648,0,0.00941619585687382,433.993999958039,433.867,4,5,5,15,7900.094,0,0,0,0,0,7.3,7.3,6.91428571428571
"22",1,2014-04-12,22,7.3,-0.6,0.8,0.0899449035812673,9401.07800078392,0,0,213.599,5751.202,1052.986,0,0,0,49.867,233.31,0,0,180.647,0,0.00185185185185186,951.204999923707,1783.312,3,5,6,15,7481.611,1,1,1,0,0,7.8,7.26666666666667,7.01428571428571
"23",1,2014-04-13,23,7.8,-0.5,1,0.0140587761869371,926.379999637605,0,0,270.135,465.048,35.196,82.413,0,0,59.494,13.229,0,0,0,0,0.042755991285403,2347.92599987983,2301.522,3,4,7,15,925.515,2,2,2,0,0,7.2,7.36666666666667,7.17142857142857
"24",1,2014-04-14,24,7.2,-1.2,0.6,0.124473114457858,13183.056999445,1,0,715.496,4370.538,5937.616,89.323,0,0,136.046,2123.301,29.104,0,479.35,0,0.0139589169000934,1071.16799998283,1070.995,5,5,1,15,13880.774,0,0,0,0,0,6.7,7.43333333333333,7.25714285714286
"25",1,2014-04-15,25,6.7,-0.4,0.7,0.130661140575887,7413.00999879837,8,0,1149.719,3643.908,841.205,13.043,0,0,98.324,1491.964,8.363,0,229.486,0,0.0219914409267101,4864.11299967766,4071.241,3,4,2,15,7476.012,2,2,2,0,0,7.2,7.23333333333333,7.27142857142857
"26",1,2014-04-16,26,7.2,0.6,0.8,0.161864306244105,8035.83199834823,0,1,762.652,2908.913,426.734,0,0,0,34.77,1026.563,0,0,159.926,0,0.018635231870526,6598.18899965286,6480.282,3,4,3,16,5319.558,0,1,3,0,0,6.5,7.03333333333333,7.24285714285714
"27",1,2014-04-17,27,6.5,0.1,0.5,0.0735760781828624,7998.04600119591,2,0,301.579,4454.811,38.229,0,0,0,46.749,1407.242,0,0,39.227,0,0.0440078734196381,4303.29600048066,3363.123,2,4,4,16,6287.837,1,1,1,0,0,6.7,6.8,7.1
"28",1,2014-04-18,28,6.7,-0.1,0.9,0.13871081447844,12274.0459997654,1,0,973.264,4552.459,774.354,119.163,0,0,40.669,1645.865,63.874,0,82.577,0,0.0306811048336472,6721.31699943543,8898.942,3,4,5,16,8252.225,1,1,1,0,0,7.8,6.8,7.05714285714286
"29",1,2014-04-19,29,7.8,-0.2,1,0.139130228362531,4012.3090004921,1,0,744.032,1832.616,469.274,95.629,29.084,0,25.467,379.419,128.89,0,305.796,0,0.012037037037037,1211.79499983788,1211.594,3,5,6,16,4010.207,0,0,0,0,0,7,7,7.12857142857143
"30",1,2014-04-20,30,7,0,0.8,0.103146169427375,4985.28300023079,0,0,454.708,3365.752,260.474,0,0,0,24.173,807.731,0,0,98.97,0,0.0487901933554107,11694.6450004578,4178.171,2,3.664,7,16,5011.808,1,1,1,0,0,7.4,7.16666666666667,7.01428571428571
"31",1,2014-04-21,31,7.4,0,0.6,0.163265694349195,2581.87099957466,1,0,3296.833,1222.04,45.381,33.266,0,0,50.859,0,68.278,0,173.312,0,0.00918577307466197,967.635999917984,967.082,2,4,1,16,4889.969,1,1,1,0,0,7.4,7.4,7.04285714285714
"32",1,2014-04-22,32,7.4,0.2,1,0.14207786671981,10485.6589996815,2,0,1837.513,8273.227,861.763,20.183,0,0,63.16,444.339,0,0,314.659,0,0,1483.55599975586,1663.185,5,5,2,16,11814.844,0,0,0,0,0,7.6,7.26666666666667,7.14285714285714
"33",1,2014-04-23,33,7.6,-0.1,1,0.0623579030698004,5241.62799859047,0,0,541.845,4620.119,138.751,18.051,0,0,33.301,279.475,0,0,6.027,0,0.0168236032642812,5842.69999957084,5090.367,3,4,3,17,5637.569,1,1,1,0,0,7.5,7.46666666666667,7.2
