"","id","datetime","observation_day","mood","arousal","valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","night_physical_activity","night_screen","night_appcat_combined","SUM_inactivity_timediff","weekday","week_of_year","appCat_total","mood_of_next_day"
"1",1,2014-03-22,1,6.4,0.6,0.6,0.265094180596084,6005.73799943924,3,1,728.368,4841.719,93.324,21.076,0,0,86.089,439.632,37.305,0,117.621,0,0,370.381999969483,378.791,8,6,12,6365.134,6.4
"2",1,2014-03-23,2,6.4,0.1,0.3,0.171456254034268,4122.44700050354,0,0,1135.066,3376.14,94.346,0,0,0,40.604,367.596,0,0,0,30.386,0.00833333333333335,136.423000097275,136.314,6.967,7,12,5044.138,6
"3",1,2014-03-24,3,6,0.8,0,0.124598559350174,12245.6310002804,10,0,796.971,6621.222,976.971,34.106,0,3.01,55.519,3158.352,419.805,0,178.732,0,0.00769699184021435,2670.26900100708,2670.199,5,1,12,12244.688,6.5
"4",1,2014-03-25,4,6.5,0,0.5,0.148495685333681,12254.188999176,0,1,689.493,5349.201,18.066,43.054,0,0,129.617,1462.131,0,235.223,74.431,0,0.00289855072463768,2801.61400032044,2795.566,6,2,12,8001.216,6.6
"5",1,2014-03-26,5,6.6,-0.2,0.6,0.154534799740725,9867.71700048446,0,0,697.038,4589.329,602.253,20.175,0,0,84.449,2936.136,0,0,0,0,0.017615935262994,9369.48799967765,8205.166,3,3,13,8929.38,7
"6",1,2014-03-27,6,7,-0.4,0.6,0.301357465109938,17206.5799992085,2,1,1142.693,5937.144,639.339,42.219,0,182.451,51.513,935.381,47.314,0,163.941,0,0.0107613666935701,6411.71099996567,4696.634,4,4,13,9141.995,6.5
"7",1,2014-03-28,7,6.5,-0.7,0.6,0.147369281045752,4324.99700021744,5,0,671.222,667.844,742.091,53.344,233.036,0,215.907,512.741,1133.009,0,301.717,0,0,649.487000226975,10656.085,4,5,13,4530.911,7.1
"8",1,2014-03-29,8,7.1,0.3,0.8,0.100007687046182,5551.09099984169,4,1,377.962,2337.486,1159.906,0,0,0,156.56,472.888,52.435,0,470.017,0,0.00957925595606754,181.001999378204,338.723,5,6,13,5027.254,7.7
"9",1,2014-03-30,9,7.7,-0.4,0.9,0.0273412698412699,1841.85800075531,0,0,317.539,559.264,717.016,0,0,0,66.801,157.465,0,0,38.296,0,0.138176638176638,4361.99499988556,3217.33,4.404,7,13,1856.381,7.4
"10",1,2014-03-31,10,7.4,0,0.6,0.106304704372773,5536.82000017166,6,0,2607.096,2360.718,895.702,41.255,51.176,0,157.586,1044.802,183.381,29.29,25.281,0,0.012962962962963,1091.32500004768,1090.75,6,1,13,7396.287,6
"11",1,2014-04-01,11,6,0.2,0,0.176348751751949,13741.8070018291,1,0,1150.145,3463.959,817.444,519.63,234.741,92.388,112.148,4169.478,1614.621,0,493.499,0,0.010840108401084,6299.64200043678,5393.138,4,2,13,12668.053,6.5
"12",1,2014-04-02,12,6.5,-0.2,0.4,0.141101045045655,11886.6099994183,4,0,3304.328,4302.635,1078.609,247.777,0,90.481,508.292,3172.776,0,0,271.929,0,0.0228756805664015,3441.62300014496,3419.45,2,3,14,12976.827,6.4
"13",1,2014-04-03,13,6.4,-1.2,0,0.0640593341112835,13340.1530001163,4,0,1964.648,8833.996,884.621,76.234,0,0,203.795,1638.613,0,0,28.1,0,0.0426120448179272,10467.064000845,5625.003,3,4,14,13630.007,6.6
"14",1,2014-04-04,14,6.6,0.1,0.5,0.187631213343908,9270.38199901581,1,0,1826.654,4816.287,1378.628,0,0,0,162.68,1560.949,158.241,0,107.627,0,0.0185185185185185,7059.30300045013,7064.904,4,5,14,10011.066,7.1
"15",1,2014-04-05,15,7.1,-0.4,0.7,0.184753641384942,3243.4289996624,0,0,15070.411,1885.409,76.369,0,0,0,73.103,363.208,187.945,0,118.956,0,0.0317270461166729,3159.23200106621,496.887,3,6,14,17775.401,6.5
"16",1,2014-04-06,16,6.5,-1,0.5,0.0237565573494151,5374.60499978065,1,0,4217.37,1710.684,187.214,0,114.406,0,111.938,300.343,0,0,46.249,0,0.128487553213376,912.819999933243,1427.637,2,7,14,6688.204,6.6
"17",1,2014-04-07,17,6.6,-0.8,0.4,0.0810729938789086,6805.68099999428,0,0,612.701,4526.809,361.713,0,0,17.107,118.669,828.169,60.247,0,131.444,0,0.00555555555555556,1250.64899992943,1250.205,4,1,14,6656.859,6.6
"18",1,2014-04-08,18,6.6,-0.4,0.6,0.103706515224909,8218.70100212097,0,0,612.186,6060.181,872.291,19.131,0,0,50.412,2181.717,0,0,36.143,0,0.00655270655270654,6060.23599958419,6464.722,1,2,14,9832.061,7.4
"19",1,2014-04-09,19,7.4,-0.8,1,0.184788496295204,8705.48200082779,4,0,1290.799,3550.485,563.347,0,0,0,338.637,2413.786,0,0,19.348,0,0.0214752567693744,4020.80700039864,4062.922,4,3,15,8176.402,7.3
"20",1,2014-04-10,20,7.3,-0.1,0.8,0.0997427004373863,4866.73300027847,7,0,576.076,2173.301,477.255,0,1.059,23.195,98.699,1131.258,0,0,230.197,0,0.0479577288613947,8663.835999012,8141.489,3,4,15,4711.04,7
"21",1,2014-04-11,21,7,-1.2,0.8,0.126866812205786,9586.10200023651,0,0,3162.433,3321.247,434.249,94.093,0,0,42.383,596.807,34.234,0,214.648,0,0.00941619585687382,433.993999958039,433.867,5,5,15,7900.094,7.2
"22",1,2014-04-12,22,7.2,-0.6,0.8,0.0899449035812673,9401.07800078392,0,0,213.599,5751.202,1052.986,0,0,0,49.867,233.31,0,0,180.647,0,0.00185185185185186,951.204999923707,1783.312,5,6,15,7481.611,7.8
"23",1,2014-04-13,23,7.8,-1.1,1.2,0.0140587761869371,926.379999637605,0,0,270.135,465.048,35.196,82.413,0,0,59.494,13.229,0,0,0,0,0.042755991285403,2347.92599987983,2301.522,4,7,15,925.515,7.2
"24",1,2014-04-14,24,7.2,-1.2,0.6,0.124473114457858,13183.056999445,1,0,715.496,4370.538,5937.616,89.323,0,0,136.046,2123.301,29.104,0,479.35,0,0.0139589169000934,1071.16799998283,1070.995,5,1,15,13880.774,6.7
"25",1,2014-04-15,25,6.7,-0.4,0.9,0.130661140575887,7413.00999879837,8,0,1149.719,3643.908,841.205,13.043,0,0,98.324,1491.964,8.363,0,229.486,0,0.0219914409267101,4864.11299967766,4071.241,4,2,15,7476.012,7.2
"26",1,2014-04-16,26,7.2,0.8,0.2,0.161864306244105,8035.83199834823,0,1,762.652,2908.913,426.734,0,0,0,34.77,1026.563,0,0,159.926,0,0.018635231870526,6598.18899965286,6480.282,4,3,16,5319.558,6.9
"27",1,2014-04-17,27,6.9,-0.1,0.7,0.0735760781828624,7998.04600119591,2,0,301.579,4454.811,38.229,0,0,0,46.749,1407.242,0,0,39.227,0,0.0440078734196381,4303.29600048066,3363.123,4,4,16,6287.837,6.9
"28",1,2014-04-18,28,6.9,-0.3,0.9,0.13871081447844,12274.0459997654,1,0,973.264,4552.459,774.354,119.163,0,0,40.669,1645.865,63.874,0,82.577,0,0.0306811048336472,6721.31699943543,8898.942,4,5,16,8252.225,7.8
"29",1,2014-04-19,29,7.8,-0.2,1,0.139130228362531,4012.3090004921,1,0,744.032,1832.616,469.274,95.629,29.084,0,25.467,379.419,128.89,0,305.796,0,0.012037037037037,1211.79499983788,1211.594,5,6,16,4010.207,7.4
