"","ID","date","beepo","mood","arousal","valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather"
"40","1",2014-03-28,5,7,-1,1,0.0950046685340803,1800.03300023079,1,0,195.135,204.143,668.79,53.344,233.036,0,114.258,118.029,19.147,0,55.312,0
"41","1",2014-03-29,1,NA,NA,NA,0.0503654155828069,4555.30100011825,0,0,1631.54,526.045,955.671,0,0,0,13.034,0,0,66.477,167.919,0
"42","1",2014-03-29,2,8,0,1,0.0738550014968548,512.947999715805,0,0,19.793,383.989,0,0,0,0,104.574,0,0,0,0,0
"43","1",2014-03-29,3,NA,NA,NA,0.0508289640642582,2890.28199982644,0,0,98.396,511.284,801.694,0,0,0,0,442.771,52.435,0,211.212,0
"44","1",2014-03-29,4,8.5,0,1,0.200421452984864,794.240999698638,0,0,128.898,474.089,328.079,0,0,0,39.625,30.117,0,0,97.234,0
"45","1",2014-03-29,5,7,1,1,0.111647992530345,1179.46800041199,4,1,100.142,911.938,30.133,0,0,0,12.361,0,0,0,124.272,0
"46","1",2014-03-30,1,NA,NA,NA,0.0291666666666668,1091.32500004768,0,0,90.227,652.588,330.513,0,0,0,7.202,10.22,0,0,0,0
"47","1",2014-03-30,2,7.5,0,0.5,0.117261904761905,908.157999992371,0,0,145.976,290.846,315.727,0,0,0,13.23,157.465,0,0,0,0
"48","1",2014-03-30,3,8,-1,1,0.0111111111111111,12.1200001239777,0,0,2.934,0,0,0,0,0,9.155,0,0,0,0,0
"49","1",2014-03-30,4,NA,NA,NA,0.00833333333333333,894.94600057602,0,0,142.316,268.418,401.289,0,0,0,44.416,0,0,0,38.296,0
"50","1",2014-03-30,5,7,-1,1,0,26.6340000629425,0,0,26.313,0,0,0,0,0,0,0,0,0,0,0
"51","1",2014-03-31,1,7,-1,1,0.0202383434090751,6323.93400073051,0,0,420.646,3269.361,962.788,0,0,0,110.968,444.617,0,0,209.161,0
"52","1",2014-03-31,2,7,1,0,0.0447945845004669,1578.4470000267,5,0,296.895,222.786,184.492,0,0,0,80.229,752.302,41.176,0,0,0
"53","1",2014-03-31,3,7,-1,0,0.0168541993068414,341.667999982834,0,0,69.257,211.903,0,0,51.176,0,9.242,0,0,0,0,0
"54","1",2014-03-31,4,8,0,1,0.29366391184573,1390.58499979973,1,0,1976.154,490.138,332.005,41.255,0,0,11.165,113.764,63.756,29.29,0,0
"55","1",2014-03-31,5,8,1,1,0.127777777777778,2182.61299991608,0,0,221.32,1435.891,379.205,0,0,0,56.95,178.736,78.449,0,25.281,0
"56","1",2014-04-01,1,7,1,1,0.0618170256608391,5651.77700018883,0,0,655.684,3199.562,494.506,28.196,0,28.764,9.042,1061.344,0,0,151.891,0
"57","1",2014-04-01,2,7,1,1,0.507042746815474,2555.54500055313,0,0,242.522,480.177,2.026,0,234.741,0,15.05,314.197,1265.114,0,98.495,0
"58","1",2014-04-01,3,6,0,0,0.079045653349059,5072.1019999981,0,0,176.676,1345.406,176.734,261.33,0,0,54.277,1500.996,349.507,0,243.113,0
"59","1",2014-04-01,4,5,0,-1,0.0264778325123153,737.535000324249,1,0,114.95,507.738,0,76.277,0,0,42.821,99.456,0,0,0,0
"60","1",2014-04-01,5,5,-1,-1,0.087711606381683,3175.91500091552,0,0,172.259,265.201,257.801,182.023,0,63.624,0,1925.31,0,0,0,0
"61","1",2014-04-02,1,6,1,0,0.0852404432959387,11930.9000012875,0,0,494.723,4715.418,382.653,24.279,0,0,113.099,924.147,0,0,144.282,0
"62","1",2014-04-02,2,NA,NA,NA,0.182244884204851,3147.69899916649,0,0,698.206,1117.111,41.249,0,0,90.481,322.038,1116.377,0,0,0,0
"63","1",2014-04-02,3,7,1,1,0.183170995670996,3279.58800005913,0,0,1980.925,974.068,751.408,141.67,0,0,53.744,675.419,0,0,243.533,0
"64","1",2014-04-02,4,6,NA,NA,0.0763516538917607,1170.04899978638,0,0,78.324,538.527,13.028,0,0,0,9.026,225.365,0,0,0,0
"65","1",2014-04-02,5,7,-1,1,0.053436911487759,2815.82699990273,4,0,430.201,1106.4,155.038,81.828,0,0,43.634,905.994,0,0,0,0
"66","1",2014-04-03,1,7,-2,1,0.0166666666666667,7689.1270005703,0,0,940.83,4418.496,575.609,0,0,0,10.107,1622.366,19.082,0,108.228,0
"67","1",2014-04-03,2,6,-1,-1,0.140533558055991,5092.67600011826,0,0,575.868,3045.553,287.643,76.234,0,0,136.335,1235.296,0,0,28.1,0
"68","1",2014-04-03,3,7,-1,1,0.101457532165408,5741.45200014114,1,0,604.675,4270.756,191.833,0,0,0,52.345,237.835,0,0,0,0
"69","1",2014-04-03,4,6,-1,0,0.0502354048964218,1547.10199999809,1,0,95.739,1295.103,405.145,0,0,0,8.021,124.898,0,0,0,0
"70","1",2014-04-03,5,6,-1,-1,0.0169590643274854,329.089999914169,2,0,58.564,222.584,0,0,0,0,7.094,40.584,0,0,0,0
