"","id","datetime","observation_day","mood","arousal","valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","night_physical_activity","night_screen","night_appcat_combined","SUM_inactivity_timediff","weekday","week_of_year","appCat_total","mood_of_next_day"
"1",7,2014-03-20,1,5.4,-1,-0.2,0.153394900767782,4673.87200021744,0,0,428.991,3457.622,317.984,0,0,0,57.322,318.718,0,0,0,0,0.00426887926887927,4731.2930009365,4730.413,5.981,4,12,4580.637,7
"2",7,2014-03-21,2,7,0,0.6,0.14731881234524,16762.4270000458,0,0,719.409,3877.935,426.889,0,0,0,81.254,1325.106,164.604,0,31.218,0,0.0126984063206339,6064.04200029373,6062.762,6.586,5,12,6626.415,5.9
"3",7,2014-03-22,3,5.9,-0.4,-0.1,0.109708037060978,5676.97700047493,0,0,304.733,4066.325,469.574,0,0,0,273.443,576.817,0,0,0,0,0.0433176766138227,1192.53800010681,1287.249,5.795,6,12,5690.892,7.6
"4",7,2014-03-23,4,7.6,0.2,1.1,0.0785752688172043,5060.64499735832,0,0,249.051,3819.854,370.985,0,0,0,105.294,563.211,0,0,0,0,0.0688146399872391,5277.95199990273,5277.318,6.477,7,12,5108.395,7.4
"5",7,2014-03-24,5,7.4,0.4,1,0.170726211104966,5375.5239982605,0,9,1280.689,2959.889,512.345,0,0,0,188.645,511.683,58.215,0,0,0,0.0294282788256963,5237.08799958229,5033.597,5.374,1,12,5511.466,6.1
"6",7,2014-03-25,6,6.1,-0.5,0.5,0.150334620059925,8388.12899756431,4,0,860.846,5840.05,615.745,0,0,0,635.447,829.085,0,0,0,0,0.00134439634439635,1461.51600027084,1461.415,7.657,2,12,8781.173,6.2
"7",7,2014-03-26,7,6.2,-0.4,0.4,0.159522843620207,7365.0510005951,8,4,2289.631,2978.951,1274.317,0,0,0,43.154,527.138,203.741,0,0,0,0.00752504391587143,2773.06300044059,2238.293,5,3,13,7316.932,6.8
"8",7,2014-03-27,8,6.8,0.2,0.4,0.139631507775524,7261.5559990406,2,8,1597.608,4168.829,0,0,0,0,46.206,676.806,51.768,0,0,0,0.0151340996168582,3860.19499969483,3859.562,4,4,13,6541.217,7.3
"9",7,2014-03-28,9,7.3,-0.1,0.8,0.154755891233023,7524.23800158501,1,0,2260.018,2749.867,389.744,0,0,0,223.741,1211.985,647.093,305.073,14.226,0,0.000925925925925926,414.636999845505,819.383,5,5,13,7801.747,7
"10",7,2014-03-29,10,7,0.2,1,0.0642506881761731,8872.8659992218,0,5,1476.271,1232.044,5067.154,0,0,0,282.187,644.417,307.752,0,0,0,0.00367309458218549,5407.81299972534,4875.043,5,6,13,9009.825,6.2
"11",7,2014-03-30,11,6.2,-0.1,0.1,0.0953904168360204,8565.75999975204,2,1,1742.202,3977.82,607.082,0,0,0,48.181,1260.88,266.05,0,0,0,0.00515752032520325,1761.48000097275,2252.11,3,7,13,7902.215,5.1
"12",7,2014-03-31,12,5.1,-1,0.2,0.0621857227739581,5499.48399949074,5,1,1112.855,1098.846,2814.636,0,0,0,38.138,225.954,207.856,0,0,0,0.025,6321.2040002346,6155.151,2,1,13,5498.285,6.8
"13",7,2014-04-01,13,6.8,-0.8,0.8,0.126441835060801,8626.82799959183,0,7,718.761,4203.286,2730.206,0,0,0,47.348,772.526,0,0,0,0,0.0111111111111111,1683.91800045967,1683.031,5,2,13,8472.127,5.2
"14",7,2014-04-02,14,5.2,-1.4,0.2,0.243233258482456,6071.98899888992,13,3,3665.135,1635.61,317.999,0,0,0,91.939,73.809,711.465,0,0,0,0.00277777777777778,5919.13099980354,5918.271,5,3,14,6495.957,6.2
"15",7,2014-04-03,15,6.2,-0.7,0.1,0.142222222222222,3295.98600053787,3,0,561.403,2187.79,59.478,0,0,0,31.328,267.798,185.08,0,0,0,0.0111111111111111,7257.42999958992,7246.88,4,4,14,3292.877,6.6
"16",7,2014-04-04,16,6.6,-0.4,0.2,0.0766308243727599,3540.14000105858,3,1,379.014,2347.494,267.144,0,0,0,222.509,152.874,0,0,0,0,0.00366556774902528,4777.02299976349,4776.678,5,5,14,3369.035,6
"17",7,2014-04-05,17,6,-0.4,0.6,0.282569521690767,4900.41999912262,9,5,1933.974,1003.418,242.704,0,0,0,112.278,1184.836,149.298,0,0,0,0.00462962962962963,6484.31100058555,6350.426,5,6,14,4626.508,6.4
"18",7,2014-04-06,18,6.4,-0.8,0.8,0.0398717948717949,2862.24600076675,2,1,576.267,1914.719,0,0,0,0,110.165,423.32,0,0,0,0,0.198109243697479,5181.61700057984,5140.041,2,7,14,3024.471,5.6
"19",7,2014-04-07,19,5.6,-0.2,0.4,0.116124633761551,2885.292999506,0,1,212.15,3118.701,0,0,0,0,93.047,215.694,0,0,0,0,0.0462962962962962,5898.72799992562,5740.824,3,1,14,3639.592,6.8
"20",7,2014-04-08,20,6.8,-0.4,0.6,0.119038281979458,3912.84799909592,0,0,309.961,3227.878,237.246,0,0,0,167.077,221.078,0,0,0,0,0.00637522768670309,8160.93700003624,8160.664,5,2,14,4163.24,5.9
"21",7,2014-04-09,21,5.9,-1.3,0.3,0.101666666666667,9361.52199912071,2,1,429.22,2062.495,0,0,0,0,106.845,479.095,0,0,0,0,0.00640558591378263,5814.590000391,5813.743,5,3,15,3077.655,6.2
